"created_utc","id","value","number_of_data_points","metric_id","location_id","datetime_interval_id","forecast_horizon_minutes","id-2","name","description","id-3","start_datetime_utc","end_datetime_utc","elexon_settlement_period","is_primary","id-4","label","gsp_id","gsp_name","gsp_group","region_name","installed_capacity_mw"
"2022-10-15 13:01:04.137311+00",76135,109.46867526004189,48,1,339,48,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",48,"2022-10-14 00:00:00","2022-10-15 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-16 13:01:15.536967+00",77441,115.94865763205293,48,1,339,49,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",49,"2022-10-15 00:00:00","2022-10-16 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-17 13:01:15.04714+00",78747,127.64457789578643,48,1,339,50,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",50,"2022-10-16 00:00:00","2022-10-17 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-18 13:01:10.807289+00",80053,161.85621028233808,48,1,339,51,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",51,"2022-10-17 00:00:00","2022-10-18 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-19 13:01:09.918966+00",81359,149.89710477643084,48,1,339,52,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",52,"2022-10-18 00:00:00","2022-10-19 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-20 13:01:08.465918+00",82665,108.36338744502977,48,1,339,53,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",53,"2022-10-19 00:00:00","2022-10-20 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-21 13:01:12.197346+00",83971,121.12221920953583,48,1,339,54,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",54,"2022-10-20 00:00:00","2022-10-21 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-22 13:01:05.469591+00",85277,152.6275190125081,48,1,339,55,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",55,"2022-10-21 00:00:00","2022-10-22 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-23 13:01:12.841934+00",86583,109.74303802927038,48,1,339,56,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",56,"2022-10-22 00:00:00","2022-10-23 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-24 13:01:07.864198+00",87889,129.0891037402246,48,1,339,57,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",57,"2022-10-23 00:00:00","2022-10-24 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-25 13:01:05.795762+00",89195,97.09029586427478,48,1,339,58,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",58,"2022-10-24 00:00:00","2022-10-25 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-26 13:01:27.382931+00",90501,126.8350165796554,48,1,339,59,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",59,"2022-10-25 00:00:00","2022-10-26 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-27 13:01:11.576601+00",91807,157.32456928638325,48,1,339,60,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",60,"2022-10-26 00:00:00","2022-10-27 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-28 13:01:09.009076+00",93113,131.62243831980552,48,1,339,61,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",61,"2022-10-27 00:00:00","2022-10-28 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-29 13:01:03.283397+00",93114,200.44677627681995,48,1,339,62,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",62,"2022-10-28 00:00:00","2022-10-29 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-30 13:01:14.521939+00",94420,111.57400753380715,48,1,339,63,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",63,"2022-10-29 00:00:00","2022-10-30 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-31 13:01:11.790322+00",95726,134.92289080767765,48,1,339,64,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",64,"2022-10-30 00:00:00","2022-10-31 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-01 13:01:14.992256+00",97032,98.62382388017346,48,1,339,200,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",200,"2022-10-31 00:00:00","2022-11-01 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
